"Geo","tick","run","random_seed"
"315.71099402778333 10.35617714433361 0.7610412847048272",401.0,1,1248708014
"13.986053243871227 148.530899078947 0.6790628123133335",401.0,1,1248708014
"139.54816921853993 354.89251921869635 0.761167431667187",401.0,1,1248708014
"225.30557814570275 161.81132735065452 0.7920383744629622",401.0,1,1248708014
"18.993268718394937 149.46048334143978 0.5894676940408844",401.0,1,1248708014
"321.3066052052778 8.178151410229331 0.7743105504238288",401.0,1,1248708014
"320.80274946976755 5.356971286280514 0.6858071259800883",401.0,1,1248708014
"319.57628754516446 5.034020612388533 0.5856809885745848",401.0,1,1248708014
"325.9087636162529 12.667737746561158 0.66439951666217",401.0,1,1248708014
"139.2086275734932 357.82284858515004 0.7708521985216038",401.0,1,1248708014
"229.06372080363022 163.47820855988712 0.6102284111418373",401.0,1,1248708014
"19.628576437790286 153.66011351966515 0.6635644716498581",401.0,1,1248708014
"137.20422306326418 354.33663954787824 0.6632701921361139",401.0,1,1248708014
"12.214134693560409 155.2160293227519 0.6442891892739682",401.0,1,1248708014
"137.9953349091422 364.4072849572517 0.789820656560823",401.0,1,1248708014
"134.2252372336658 359.09377189920457 0.5881022134910628",401.0,1,1248708014
"318.5240516865879 14.172866888790406 0.7393424186384313",401.0,1,1248708014
"143.71311789147518 355.29791190113656 0.7868471964193746",401.0,1,1248708014
"139.05706325940022 356.31651248419513 0.7490501796845008",401.0,1,1248708014
"324.4323698404297 5.496496565848616 0.6878478552121084",401.0,1,1248708014
"224.02695574136092 165.96451962727414 0.5838808122848385",401.0,1,1248708014
"141.99010700255397 358.1786313728599 0.5909045710784243",401.0,1,1248708014
"314.2537038417977 10.870027392611933 0.7889830235164367",401.0,1,1248708014
"226.73998140913343 164.31804792744472 0.6534992488269925",401.0,1,1248708014
"131.54947958243696 358.63471756672345 0.6468951687241264",401.0,1,1248708014
"11.854217992315927 151.61489178398165 0.6166127642604544",401.0,1,1248708014
"364.33199609006203 67.02541077771329 0.7434796991378133",401.0,1,1248708014
"318.39171154425895 7.792926030733486 0.6495768852422643",401.0,1,1248708014
"374.9205943688931 68.92103349466423 0.7223396547783915",401.0,1,1248708014
"316.9575786966153 7.8289761350257825 0.7812513836780642",401.0,1,1248708014
"365.73816832237475 67.43900380473855 0.7279173932135925",401.0,1,1248708014
"137.82912980281026 358.2264944785968 0.6709292254100511",401.0,1,1248708014
"134.2839645371012 362.8361788898766 0.6999793856643742",401.0,1,1248708014
"12.59569511482477 150.475260817892 0.7540050117192606",401.0,1,1248708014
"222.51578654467366 163.39156394360526 0.6742753047116512",401.0,1,1248708014
"316.9790125391102 13.541742379227928 0.5802409484312322",401.0,1,1248708014
"13.949895104364048 149.92022819942363 0.7171779499971361",401.0,1,1248708014
"143.30245102707073 361.17285539651016 0.7744872868546449",401.0,1,1248708014
"317.74513131299756 6.7085051765857475 0.5994749046814997",401.0,1,1248708014
"317.9972588831961 12.963077499462878 0.5943464876183558",401.0,1,1248708014
"226.86316360939378 162.06219300381102 0.7882544229282878",401.0,1,1248708014
"370.7099361230187 71.54561254357999 0.7905504130194054",401.0,1,1248708014
"16.263071671525953 152.00139655601137 0.6852411376216084",401.0,1,1248708014
"318.03217979282346 15.922470419731486 0.6616242898752444",401.0,1,1248708014
"225.8822125549905 163.22616011634491 0.741095809592068",401.0,1,1248708014
"15.727035748587953 154.80273417792026 0.6730909518668128",401.0,1,1248708014
"13.68612095939743 153.0538478274561 0.680792107197908",401.0,1,1248708014
"132.8606058575982 361.34859970476737 0.6818697961224386",401.0,1,1248708014
"316.9228777991298 4.9802676359859515 0.5986523902050371",401.0,1,1248708014
"223.48492043635446 162.59379237773553 0.5899502408636359",401.0,1,1248708014
"20.17932902302674 149.1083701424026 0.650728650133441",401.0,1,1248708014
"321.3199329652626 13.939960009044505 0.7690786255799598",401.0,1,1248708014
"372.61312721539105 66.21522984804581 0.6966734541004447",401.0,1,1248708014
"15.696113697608718 150.86917736184517 0.5907081788277209",401.0,1,1248708014
"222.1645985683068 164.64536582673205 0.6349034141736466",401.0,1,1248708014
"319.2152244268031 12.84410010571908 0.6189906684436945",401.0,1,1248708014
"370.8713876695704 70.08312164968113 0.6432657501742587",401.0,1,1248708014
"363.284852300986 67.95318701047209 0.658739403466077",401.0,1,1248708014
"218.45326708160863 160.02522602642253 0.7353069256294201",401.0,1,1248708014
"147.0997730779038 357.4696696201285 0.6669327039073707",401.0,1,1248708014
